"Segment","SegmentURL", "Product", "ProductURL"
"Abrasion Resistance",/Products/selectorresults.aspx?taxids=1410&sort=Ascending,Magnasoft* L-27,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Magnasoft*+L-27
"Abrasion Resistance",/Products/selectorresults.aspx?taxids=1410&sort=Ascending,Magnasoft* L-39,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Magnasoft*+L-39
"Food Packaging",/Products/selectorresults.aspx?taxids=1627&sort=Ascending,Silopren* LSR 2030,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silopren*+LSR2030
"Food Packaging",/Products/selectorresults.aspx?taxids=1627&sort=Ascending,Silopren* LSR 2040,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silopren*+LSR2040
"Food Packaging",/Products/selectorresults.aspx?taxids=1627&sort=Ascending,Silopren* LSR 2050,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silopren*+LSR2050
"Food Packaging",/Products/selectorresults.aspx?taxids=1627&sort=Ascending,Silopren* LSR 2060,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silopren*+LSR2060
"Food Packaging",/Products/selectorresults.aspx?taxids=1627&sort=Ascending,Silopren* LSR 2070,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silopren*+LSR2070
"Food Packaging",/Products/selectorresults.aspx?taxids=1627&sort=Ascending,Silopren* LSR 2080,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silopren*+LSR+2080
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,AMP-14,http://msds.momentive.com/ehswww/showOptions.jsp?Product=AMP-14
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,LE-9300,http://msds.momentive.com/ehswww/showOptions.jsp?Product=LE-9300
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,RE-29,http://msds.momentive.com/ehswww/showOptions.jsp?Product=RE-29
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,RPS-116,http://msds.momentive.com/ehswww/showOptions.jsp?Product=RPS-116
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Silwet* DA-33,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silwet*+DA-33
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Silwet* DA-40,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silwet*+DA-40
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Silwet* DA-63,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silwet*+DA-63
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Silwet* Hydrostable 212,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silwet*+Hydrostable+212
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Silwet* Hydrostable 611,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Silwet*+Hydrostable+611
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,SPM-1,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SPM-1
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,SPM-2,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SPM-2
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,SPM-3,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SPM-3
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,TSA730,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSA+730
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,TSA731,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSA731
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,TSA732,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSA732
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,TSA7341,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSA7341
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,TSA770,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSA770
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,TSA772,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSA772
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Y-14829,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Y-14829
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Y-14991,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Y-14991
"Paper Manufacturing",/Products/selectorresults.aspx?taxids=1438&sort=Ascending,Y-17164,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Y-17164
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,Addisil* 6200,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Addisil*+6200
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,Chainstopper TP3525,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Chainstopper+TP3525
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,CR50,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CR50
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,CR525A,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CR525A
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,CRTV 1400 SERIES,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV+1400+SERIES
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,CRTV0300W,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV0300W
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,CRTV0400W,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV0400W
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,CRTV1486,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV1486
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,IS 5128 E,http://msds.momentive.com/ehswww/showOptions.jsp?Product=IS+5128+E
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,PSA5010,http://msds.momentive.com/ehswww/showOptions.jsp?Product=PSA5010
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,PSA5080,http://msds.momentive.com/ehswww/showOptions.jsp?Product=PSA5080
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,PSA518,http://msds.momentive.com/ehswww/showOptions.jsp?Product=PSA518
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,SCA1000,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SCA1000
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,SilForce* SL7061,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilForce*+SL7061
"Adhesives &amp; Sealants Additives",/Products/selectorresults.aspx?taxids=1239&sort=Ascending,SilGrip* CR593,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilGrip*+CR593
